"orgpermid","cusip","isin","ticker","siccode"
4295899817,"31620M106","US31620M1062","FIS",7389
4295899822,"83303W109","US83303W1099","PALT",7389
4295899824,"45772B106","US45772B1061","IVDN",2390
4295899825,"55402X105","US55402X1054","MWIV",5047
4295899827,"736508847","US7365088472","POR",4911
4295899834,"33938T104","US33938T1043","FSI",2890
4295899836,"247734304","US2477343048","CANX",1311
4295899837,"49803T300","US49803T3005","KRG",6798
4295899840,"89255N104","US89255N1046","TSRE",NA
4295899845,"434712105","US4347121059","HOKUQ",NA
4295899848,"82935L101","US82935L1017","SIHI",5065
4295899858,"501889208","US5018892084","LKQ",5010
4295899859,"25400E102","US25400E1029","DGTW",3570
4295899860,"865646103","US8656461030","SUMR",3990
4295899871,"307325100","US3073251007","FEECQ",1311
4295899877,"459235107","US4592351070","IMGX",NA
4295899878,"50255M108","US50255M1080","DEVM",NA
4295899879,"00767C106","US00767C1062","AVOI",1311
4295899884,"14888D208","US14888D2080","CBIO",2834
4295899887,"004764106","US0047641065","APKT",3576
4295899893,"23282W605","US23282W6057","CYTK",2834
4295899897,"090643206","US0906432069","BNVIQ",2834
4295899903,"482423100","US4824231009","KBW",NA
4295899905,"640671103","US6406711035","NEPH",3841
4295899906,"07712Q205","US07712Q2057","FAVO",6770
4295899907,"641267208","US6412672080","HKBT",3714
4295899911,"739191203","US7391912034","PWAZQ",NA
4295899913,"217202100","US2172021006","CPNO",4922
4295899914,"83169Y108","US83169Y1082","BDBD",20
4295899916,"34630A104","US34630A1043","FVRG",2090
4295899919,"46261V108","US46261V1089","IPAS",7374
4295899921,"641255104","US6412551045","NURO",3841
4295899922,"917248106","US9172481064","DTRC",10
4295899925,"602682205","US6026822055","MSPD",NA
4295899933,"552507105","US5525071057","MFBP",6022
4295899935,"649604501","US6496045013","NYMT",6798
4295899937,"09065A100","US09065A1007","BLGO",28
4295899938,"923359103","US9233591034","DLGC",7373
4295899944,"","","WMG",79
4295899950,"44144E104","US44144E1047","SKYL",59
4295899956,"67551U105","US67551U1051","SCU",6282
4295899958,"500117106","US5001171066","KDKN",NA
4295899961,"37185E306","US37185E3062","GTHR",2836
4295899963,"28238P109","US28238P1093","EHTH",6411
4295899966,"921659108","US9216591084","VNDA",2834
4295899980,"03076C106","US03076C1062","AMP",6282
4295899982,"237601208","US2376012082","DCLT",7389
4295899984,"984117101","US9841171013","XNNHQ",3640
4295899986,"411307101","US4113071017","HNSN",3842
4295899988,"543524300","US5435243002","LOOP",NA
4295899990,"06985P209","US06985P2092","BASX",1389
4295899992,"456784107","US4567841071","SIMP",5065
4295899994,"25659T107","US25659T1079","DLB",6794
4295899997,"88043P108","US88043P1084","TNCC",6022
4295900004,"812224202","US8122242022","SRCH",10
4295900005,"882681109","US8826811098","TXRH",5812
4295900006,"80517R207","US80517R2076","SVMI",3714
4295900007,"12618H309","US12618H3093","CXG",1311
4295900008,"356390104","US3563901046","FRHC",6211
4295900009,"64031N108","US64031N1081","NNI",6141
4295900010,"42833L108","US42833L1089","HGGGQ",5731
4295900020,"92238Q103","US92238Q1031","GPDB",NA
4295900021,"168927101","US1689271013","CHDA",5331
4295900022,"88828R204","US88828R2040","TEWI",NA
4295900025,"131476103","US1314761032","CLMT",2911
4295900027,"435763107","US4357631070","HEP",4610
4295900028,"23962Q308","US23962Q3083","DSTI",3674
4295900031,"82846H108","US82846H1086","SSNT",7374
